SETORES;ÓRGÃO;FUNÇÃO;PROJETO;MUNICÍPIO;MUNICÍPIOS BENEFICIADOS;VALOR TOTAL DO PROJETO;ORÇAMENTO DISPONIBILIZADO;VALOR EMPENHADO;VALOR LIQUIDADO;VALOR PAGO;SALDO;DATA DO REPASSE;EXECUÇÃO FÍSICA;EXECUÇÃO FINANCEIRA;NÚMERO DA FONTE;STATUS;OBSERVAÇÃO
Infraestrutura;SESA;10;Complexo Silvio Santos;Curitiba;;R$ 1.424.928,97; -   ; -   ;;0;R$ 1.424.928,97;;0,00%;0,00%;755;Em planejamento;
Incentivo ao Crédito;CC;4;Integralização de Capital para constituição de Fundo de Investimento nas Cadeias Produtivas Agroindustriais (FIAGRO);-;0;150000000;0;0;;150000000;R$ 0,00;17/05/2024;100%;100%;755;;O capital foi integralizado no balanço da Fomento Paraná. Após o chamamento público para seleção de gestores, incluindo a fase de análise de documentos, foi finalizada a escolha da gestora que atuará em conjunto com a Fomento na constituição do Fundo.
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;ALTAMIRA DO PARANA;ALTAMIRA DO PARANA;4.719.200,00;;  ;  ;;R$ 4.719.200,00;28/04/2025;40.44%;40.44%;500;Em Execução;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;ALTO PARAISO;ALTO PARAISO;5.000.000,00;;  ;  ;;R$ 5.000.000,00;14/02/2025;88.91%;88.91%;500;Em Execução;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;ANGULO;ANGULO;546.000,00;;  ;  ;;R$ 546.000,00;26/02/2024;100.00%;100.00%;500;Concluído;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;ANGULO;ANGULO;5.000.000,00;;  ;  ;;R$ 5.000.000,00;15/04/2025;49.16%;49.16%;500;Em Execução;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;ARAPUA;ARAPUA;5.000.000,00;;  ;  ;;R$ 5.000.000,00;18/10/2024;18.06%;18.06%;500;Em Execução;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;ARAPUA;ARAPUA;298.000,00;;  ;  ;;R$ 298.000,00;14/06/2024;91.42%;91.42%;500;Em Execução;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;ARIRANHA DO IVAI;ARIRANHA DO IVAI;5.000.000,00;;  ;  ;;R$ 5.000.000,00;31/07/2024;87.01%;87.01%;500;Em Execução;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;BOA ESPERANCA DO IGUACU;BOA ESPERANCA DO IGUACU;5.000.000,00;;  ;  ;;R$ 5.000.000,00;30/04/2025;30.47%;30.47%;500;Em Execução;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;BOA VENTURA DE SAO ROQUE;BOA VENTURA DE SAO ROQUE;165.000,00;;  ;  ;;R$ 165.000,00;27/02/2025;93.24%;93.24%;500;Em Execução;
