SESP;SESP;28/03/2025;755;VIATURA TIPO AUTO BOMBA TANQUE - ABT | 2025OB022717;6;R$ 8,091,595.54;sim
SEED;FUNDEPAR;07/03/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba. (Unidade Nova Escolar Lagoinha) | 2025OB001291;12;R$ 2,850.05;sim
SEED;FUNDEPAR;07/03/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba. (Unidade Nova Escolar Lagoinha) | 2025OB001292;12;R$ 6,298.46;sim
SEED;FUNDEPAR;07/03/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba. (Unidade Nova Escolar Lagoinha) | 2025OB001293;12;R$ 515,723.02;sim
SEED;FUNDEPAR;24/03/2025;755;Ampliar o Colégio Estadual Pinheiro do Paraná - Ensino Fundamental e Médio, no município de Curitiba/Curitiba | 2025OB001972;12;R$ 23,429.84;sim
SEED;FUNDEPAR;24/03/2025;755;Ampliar o Colégio Estadual Pinheiro do Paraná - Ensino Fundamental e Médio, no município de Curitiba/Curitiba | 2025OB001973;12;R$ 439,543.92;sim
SEED;FUNDEPAR;24/03/2025;755;Ampliar o Colégio Estadual Pinheiro do Paraná - Ensino Fundamental e Médio, no município de Curitiba/Curitiba | 2025OB001980;12;R$ 5,623.16;sim
SEED;FUNDEPAR;26/03/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB002077;12;R$ 6,186.47;sim
SEED;FUNDEPAR;26/03/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB002082;12;R$ 436,019.76;sim
SEIL;DER;05/03/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB004067;26;R$ 246,371.74;sim
SEIL;DER;06/03/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB004117;26;R$ 3,086.08;sim
SEIL;DER;06/03/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB004118;26;R$ 7,715.19;sim
SEIL;DER;17/03/2025;755;DUPLICAÇÃO E RESTAURAÇÃO DA RODOVIA PR-170/PRC-466, COM INICIO DO PERIMETRO URBANO DE TURVO, E FINALIZANDO NO INÍCIO DA PISTA DUPLA EM GUARAPUAVA, NO ESTADO DO PARANÁ, NA EXTENSÃO ESTIMADA DE 38,30KM - PALMEIRINHA E O INICIO DA PISTA DUPLA EM GUARAPUAVA - 11,52 KM | 2025OB004718;26;R$ 4,581,575.47;sim
SEIL;DER;18/03/2025;755;DUPLICAÇÃO E RESTAURAÇÃO DA RODOVIA PR-170/PRC-466, COM INICIO DO PERIMETRO URBANO DE TURVO, E FINALIZANDO NO INÍCIO DA PISTA DUPLA EM GUARAPUAVA, NO ESTADO DO PARANÁ, NA EXTENSÃO ESTIMADA DE 38,30KM - PALMEIRINHA E O INICIO DA PISTA DUPLA EM GUARAPUAVA - 11,52 KM | 2025OB004842;26;R$ 56,072.32;sim
SEIL;DER;18/03/2025;755;DUPLICAÇÃO E RESTAURAÇÃO DA RODOVIA PR-170/PRC-466, COM INICIO DO PERIMETRO URBANO DE TURVO, E FINALIZANDO NO INÍCIO DA PISTA DUPLA EM GUARAPUAVA, NO ESTADO DO PARANÁ, NA EXTENSÃO ESTIMADA DE 38,30KM - PALMEIRINHA E O INICIO DA PISTA DUPLA EM GUARAPUAVA - 11,52 KM | 2025OB004843;26;R$ 35,045.20;sim
SEIL;DER;20/03/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB005135;26;R$ 27,494,245.55;sim
SEIL;DER;21/03/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB005190;26;R$ 344,988.49;sim
SEIL;DER;21/03/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB005191;26;R$ 427,742.60;sim
SEIL;DER;21/03/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB005192;26;R$ 408,380.12;sim
SEIL;DER;21/03/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB005193;26;R$ 46,142.21;sim
SEIL;DER;21/03/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB005194;26;R$ 27,541.58;sim
SEIL;DER;24/03/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB005262";26;R$ 1,622,968.60;sim
SEIL;DER;25/03/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB005466";26;R$ 19,979.54;sim
