SETORES;ÓRGÃO;FUNÇÃO;PROJETO;MUNICÍPIO;MUNICÍPIOS BENEFICIADOS;VALOR TOTAL DO PROJETO;ORÇAMENTO DISPONIBILIZADO;VALOR EMPENHADO;VALOR LIQUIDADO;VALOR PAGO;SALDO;DATA DO REPASSE;EXECUÇÃO FÍSICA;EXECUÇÃO FINANCEIRA;NÚMERO DA FONTE;STATUS;OBSERVAÇÃO
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Almirante Tamandaré;Almirante Tamandaré; 4.719.200,00 ; -   ; -   ;; 1.070.259,86 ; 3.648.940,14 ;31/01/2025;22,68%;22,68%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Alto Paraíso;Alto Paraíso; 5.000.000,00 ; -   ; -   ;; 3.858.510,70 ; 1.141.489,30 ;14/02/2025;77,17%;77,17%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Ângulo;Ângulo; 546.000,00 ; -   ; -   ;; 546.000,00 ; -   ;26/02/2024;100,00%;100,00%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Ângulo;Ângulo; 5.000.000,00 ; -   ; -   ;; 1.863.839,78 ; 3.136.160,22 ;26/02/2025;37,28%;37,28%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Arapuã;Arapuã; 298.000,00 ; -   ; -   ;; 272.438,22 ; 25.561,78 ;14/06/2024;91,42%;91,42%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Arapuã;Arapuã; 5.000.000,00 ; -   ; -   ;; 902.818,85 ; 4.097.181,15 ;18/10/2024;18,06%;18,06%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Ariranha do Ivaí;Ariranha do Ivaí; 5.000.000,00 ; -   ; -   ;; 4.350.725,36 ; 649.274,64 ;31/07/2024;87,01%;87,01%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Boa Esperança do Iguaçu;Boa Esperança do Iguaçu; 5.000.000,00 ; -   ; -   ;; 1.264.286,91 ; 3.735.713,09 ;17/09/2024;25,29%;25,29%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Boa Ventura de São Roque;Boa Ventura de São Roque; 165.000,00 ; -   ; -   ;; 77.335,13 ; 87.664,87 ;09/05/2024;46,87%;46,87%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Boa Ventura de São Roque;Boa Ventura de São Roque; 5.000.000,00 ; -   ; -   ;; 3.006.479,01 ; 1.993.520,99 ;28/11/2024;60,13%;60,13%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Bom Sucesso do Sul;Bom Sucesso do Sul; 2.016.236,00 ; -   ; -   ;; 1.767.315,83 ; 248.920,17 ;27/11/2024;87,65%;87,65%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Cafeara;Cafeara; 405.000,00 ; -   ; -   ;; 291.000,00 ; 114.000,00 ;11/11/2024;71,85%;71,85%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Cafeara;Cafeara; 2.425.696,00 ; -   ; -   ;; 936.489,65 ; 1.489.206,35 ;27/11/2024;38,61%;38,61%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Campina do Simão;Campina do Simão; 5.000.000,00 ; -   ; -   ;; 713.692,28 ; 4.286.307,72 ;10/12/2024;14,27%;14,27%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Campo Bonito;Campo Bonito; 4.338.400,00 ; -   ; -   ;; 3.360.943,17 ; 977.456,83 ;08/01/2025;77,47%;77,47%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Corumbataí do Sul;Corumbataí do Sul; 295.000,00 ; -   ; -   ;; 230.500,00 ; 64.500,00 ;26/04/2024;78,14%;78,14%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Corumbataí do Sul;Corumbataí do Sul; 5.000.000,00 ; -   ; -   ;; 925.699,12 ; 4.074.300,88 ;26/07/2024;18,51%;18,51%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Cruzeiro do Iguaçu;Cruzeiro do Iguaçu; 5.000.000,00 ; -   ; -   ;; 232.964,08 ; 4.767.035,92 ;08/01/2025;4,66%;4,66%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Cruzeiro do Sul;Cruzeiro do Sul; 649.000,00 ; -   ; -   ;; 568.374,10 ; 80.625,90 ;04/07/2024;87,58%;87,58%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Cruzmaltina;Cruzmaltina; 403.000,00 ; -   ; -   ;; 231.525,00 ; 171.475,00 ;19/11/2024;57,45%;57,45%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Cruzmaltina;Cruzmaltina; 5.000.000,00 ; -   ; -   ;; -   ; 5.000.000,00 ;;0,00%;0,00%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Diamante do Norte;Diamante do Norte; 851.000,00 ; -   ; -   ;; 839.984,16 ; 11.015,84 ;30/09/2024;98,71%;98,71%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Diamante do Norte;Diamante do Norte; 5.000.000,00 ; -   ; -   ;; 681.514,89 ; 4.318.485,11 ;09/08/2024;13,63%;13,63%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Diamante D'Oeste;Diamante D'Oeste; 514.000,00 ; -   ; -   ;; 483.054,98 ; 30.945,02 ;10/06/2024;93,98%;93,98%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Doutor Ulysses;Doutor Ulysses; 473.000,00 ; -   ; -   ;; -   ; 473.000,00 ;;0,00%;0,00%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Doutor Ulysses;Doutor Ulysses; 5.000.000,00 ; -   ; -   ;; 399.089,06 ; 4.600.910,94 ;18/11/2024;7,98%;7,98%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Enéas Marques;Enéas Marques; 161.000,00 ; -   ; -   ;; 76.999,99 ; 84.000,01 ;25/03/2024;47,83%;47,83%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Fernandes Pinheiro;Fernandes Pinheiro; 221.000,00 ; -   ; -   ;; 140.800,00 ; 80.200,00 ;18/10/2024;63,71%;63,71%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Fernandes Pinheiro;Fernandes Pinheiro; 5.000.000,00 ; -   ; -   ;; 377.943,25 ; 4.622.056,75 ;31/10/2024;7,56%;7,56%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Flor da Serra do Sul;Flor da Serra do Sul; 5.000.000,00 ; -   ; -   ;; 3.823.631,82 ; 1.176.368,18 ;05/02/2025;76,47%;76,47%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Floresta;Floresta; 1.625.000,00 ; -   ; -   ;; 417.999,99 ; 1.207.000,01 ;25/11/2024;25,72%;25,72%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Floresta;Floresta; 353.600,00 ; -   ; -   ;; 353.600,00 ; -   ;20/08/2024;100,00%;100,00%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Flórida;Flórida; 3.755.162,35 ; -   ; -   ;; 3.224.338,12 ; 530.824,23 ;05/09/2024;85,86%;85,86%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Foz do Jordão;Foz do Jordão; 5.000.000,00 ; -   ; -   ;; 2.897.589,57 ; 2.102.410,43 ;05/02/2025;57,95%;57,95%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Grandes Rios;Grandes Rios; 703.000,00 ; -   ; -   ;; 489.000,00 ; 214.000,00 ;30/07/2024;69,56%;69,56%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Guapirama;Guapirama; 544.000,00 ; -   ; -   ;; 499.999,98 ; 44.000,02 ;10/07/2024;91,91%;91,91%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Guaporema;Guaporema; 279.000,00 ; -   ; -   ;; 52.715,54 ; 226.284,46 ;26/09/2024;18,89%;18,89%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Guaporema;Guaporema; 5.000.000,00 ; -   ; -   ;; 1.168.839,24 ; 3.831.160,76 ;22/10/2024;23,38%;23,38%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Ibema;Ibema; 5.000.000,00 ; -   ; -   ;; 2.383.854,52 ; 2.616.145,48 ;31/01/2025;47,68%;47,68%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Indianópolis;Indianópolis; 646.000,00 ; -   ; -   ;; 62.737,90 ; 583.262,10 ;22/11/2024;9,71%;9,71%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Indianópolis;Indianópolis; 4.920.206,03 ; -   ; -   ;; 2.307.356,04 ; 2.612.849,99 ;03/12/2024;46,90%;46,90%;500;;
Cidades;SECID;15;PAVIMENTAÇÃO DE VIAS URBANAS;Itaguajé;Itaguajé; 4.987.892,03 ; -   ; -   ;; 45.163,80 ; 4.942.728,23 ;14/06/2024;0,91%;0,91%;500;;
Cidades;SECID;15;ILUMINAÇÃO PÚBLICA;Itaúna do Sul;Itaúna do Sul; 372.000,00 ; -   ; -   ;; 372.000,00 ; -   ;29/05/2024;100,00%;100,00%;500;;
