Órgão;Vinculada;Data;Fonte;Descrição;Função;Valor Repassado;Despesa presente no plano de aplicação
SEIL;DER;15/12/2023;755;CONSORCIO JOTA ELE . PLANATERR;26;R$ 7.745.320,31;não
SEIL;DER;15/12/2023;755;FOZ DO IGUACU . PREFEITURA MUN;26;R$ 167.647,61;não
SEIL;DER;20/12/2023;755;INSS INSTITUTO NACIONAL DO SEG;26;R$ 368.824,46;não
SEIL;DER;15/12/2023;755;COORDENACAO DO TESOURO ESTADUA;26;R$ 100.588,57;não
SEIL;DER;15/12/2023;755;CONSORCIO JOTA ELE . PLANATERR;26;R$ 609.593,93;não
SEIL;DER;15/12/2023;755;FOZ DO IGUACU . PREFEITURA MUN;26;R$ 13.194,67;não
SEIL;DER;20/12/2023;755;INSS INSTITUTO NACIONAL DO SEG;26;R$ 29.028,28;não
SEIL;DER;15/12/2023;755;COORDENACAO DO TESOURO ESTADUAL;26;R$ 7.916,80;não
SEIL;DER;20/12/2023;755;CONSORCIO JOTA ELE . PLANATERR;26;R$ 1.597.428,26;não
SEIL;DER;20/12/2023;755;FOZ DO IGUACU . PREFEITURA MUN;26;R$ 34.576,36;não
SEIL;DER;20/12/2023;755;INSS INSTITUTO NACIONAL DO SEG;26;R$ 76.068,01;não
SEIL;DER;20/12/2023;755;COORDENACAO DO TESOURO ESTADUA;26;R$ 20.745,82;não
SECID;AMEP;15/12/2023;755;INTER CONTINENTAL DE CAFE S/A;15;R$ 19.033.023,40;sim
CASA CIVIL;CASA CIVIL;17/05/2024;755;"APORTE FINANCEIROS NA FOMENTO PARANÁ PARA O FUNDO DE INVESTIMENTO DO AGRONEGÓCIO (FIAGRO) VISANDO
FORTALECIMENTO DO AGRONEGÓCIO NO ESTADO DO PARANÁ";4;R$ 150.000.000,00;sim
SEIL;DER;18/06/2024;755;Consorcio Vale do Ribeira - Obras de pavimentação da Rodovia PR-092 em Doutor Ulysses;26;R$ 214.451,18;sim
SEIL;DER;19/06/2024;755;Rodovia PR-092 Imposto de Renda ref Consorcio Vale do Ribeira;26;R$ 10.812,66;sim
SEIL;DER;19/06/2024;755;Construtora Luiz Costa - Reabilitar, restaurar e ampliar capacidade PR-180 trecho Goioerê;26;R$ 506.189,98;sim
SEIL;DER;19/06/2024;755;PR-180 ISS ref Construtora Luiz Costa;26;R$ 13.160,39;sim
SEIL;DER;20/06/2024;755;PR-180 Imposto de Renda ref Construtora Luiz Costa;26;R$ 6.307,90;sim
SEIL;DER;26/06/2024;755;Construtora Luiz Costa - Reabilitar, restaurar e ampliar capacidade PR-180 trecho Goioerê;26;R$ 641.179,75;sim
SEIL;DER;26/06/2024;755;PR-180 ISS ref Construtora Luiz Costa;26;R$ 16.669,97;sim
SEIL;DER;27/06/2024;755;PR-180 Imposto de Renda ref Construtora Luiz Costa;26;R$ 7.990,07;sim
SEIL;SEIL;15/07/2024;755;Obras de pavimentação da Rodovia PR-092 em Doutor Ulysses - NF 617 - OB 2024OB014517;26;R$ 282.493,88;sim
SEIL;SEIL;17/07/2024;755;Rodovia PR-092 Imposto de Renda - OB 2024OB014923;26;R$ 14.243,39;sim
SEIL;SEIL;22/07/2024;755;Construtora Luiz Costa - Reabilitar, restaurar e ampliar capacidade PR-180 trecho Goioerê - NF 9673 e 9674 - OB 2024OB015381;26;R$ 1.701.948,87;sim
SEIL;SEIL;25/07/2024;755;PR-180 trecho Goioerê ISS - OB 2024OB015692;26;R$ 17.546,81;sim
